"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: kind","Param: offset","Param: size"
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,32.567483,NaN,"ns/op",arrayset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,147.435809,NaN,"ns/op",arrayset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,46.137592,NaN,"ns/op",arrayset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,18.305958,NaN,"ns/op",arrayset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,21.225554,NaN,"ns/op",arrayset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,143.680513,NaN,"ns/op",arrayset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,87.745753,NaN,"ns/op",arrayset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,45.702264,NaN,"ns/op",arrayset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,44.882004,NaN,"ns/op",arrayset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,4.123901,NaN,"ns/op",hashset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,37.357974,NaN,"ns/op",hashset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,862.015409,NaN,"ns/op",hashset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,18993.749546,NaN,"ns/op",hashset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,293171.475356,NaN,"ns/op",hashset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,7621797.451076,NaN,"ns/op",hashset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,4.015966,NaN,"ns/op",hashset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,4.146685,NaN,"ns/op",hashset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,4.478918,NaN,"ns/op",hashset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,10.331747,NaN,"ns/op",hashset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,9.236553,NaN,"ns/op",hashset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,11.272480,NaN,"ns/op",hashset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,3.435020,NaN,"ns/op",hashset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,4.048212,NaN,"ns/op",hashset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,9.406970,NaN,"ns/op",hashset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,11.002069,NaN,"ns/op",hashset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,17.969298,NaN,"ns/op",hashset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,42.547418,NaN,"ns/op",hashset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,54.711581,NaN,"ns/op",sortedset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,149.322246,NaN,"ns/op",sortedset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,1102.007130,NaN,"ns/op",sortedset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,13313.712325,NaN,"ns/op",sortedset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,229415.217203,NaN,"ns/op",sortedset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,7682089.131621,NaN,"ns/op",sortedset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,54.461887,NaN,"ns/op",sortedset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,73.148314,NaN,"ns/op",sortedset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,82.520469,NaN,"ns/op",sortedset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,86.074405,NaN,"ns/op",sortedset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,93.767585,NaN,"ns/op",sortedset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,118.863160,NaN,"ns/op",sortedset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,47.675248,NaN,"ns/op",sortedset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,63.585297,NaN,"ns/op",sortedset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,79.005636,NaN,"ns/op",sortedset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,85.759874,NaN,"ns/op",sortedset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,96.054663,NaN,"ns/op",sortedset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,100.665362,NaN,"ns/op",sortedset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.union","avgt",1,2,67.269872,NaN,"ns/op",arrayset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.union","avgt",1,2,269.577258,NaN,"ns/op",arrayset,0.0,10
